Costa Rica,"502,362",,"5,919 ",,"404,719",,"91,724",489,"5,150,407 "
Sri Lanka,"500,772","+2,078","11,938 ",+121,"429,776","+1,186","59,058",,"21,521,970 "
Bolivia,"496,354",+322,"18,628 ",+12,"449,553",+849,"28,173",220,"11,865,558 "
Bulgaria,"480,777","+1,892","19,955 ",+79,"421,842","+2,432","38,980",395,"6,885,021 "
Azerbaijan,"467,173",,"6,227 ",,"423,705",,"37,241",,"10,249,766 "
Panama,"463,459",,"7,166 ",,"451,966",,"4,327",108,"4,396,867 "
Paraguay,"459,580",+56,"16,123 ",+3,"441,362",+193,"2,095",40,"7,238,502 "
Myanmar,"442,928","+2,187","16,944 ",+75,"393,459","+2,191","32,525",,"54,851,338 "
Kuwait,"411,081",+63,"2,437 ",+1,"407,712",+92,932,20,"4,346,925 "
Slovakia,"401,250",+902,"12,569 ",+3,"382,966",+232,"5,715",54,"5,462,846 "
Croatia,"389,654","+1,394","8,481 ",+9,"373,182","+1,037","7,991",77,"4,074,574 "
Uruguay,"387,449",+150,"6,046 ",,"379,739",+166,"1,664",11,"3,488,309 "
Palestine,"381,854","+2,219","3,890 ",+19,"345,836","+2,485","32,128",80,"5,244,560 "
Ireland,"372,687","+1,386","5,179 ",,"321,571","+1,644","45,937",73,"5,004,508 "
Honduras,"356,707",+765,"9,452 ",+14,"108,225",,"239,030",530,"10,095,013 "
Dominican Republic,"354,716",+273,"4,027 ",+2,"345,706",+250,"4,983",139,"10,979,527 "
Denmark,"354,068",+324,"2,622 ",+3,"345,411",+587,"6,035",24,"5,816,904 "
Venezuela,"352,055",,"4,261 ",,"336,034",,"11,760",681,"28,338,293 "
Ethiopia,"330,494","+1,759","5,090 ",+31,"296,352",+748,"29,052",789,"118,399,958 "
Libya,"329,824",+968,"4,490 ",+10,"244,991","+1,319","80,343",,"6,984,275 "
Lithuania,"313,692","+1,197","4,763 ",+6,"290,984",+746,"17,945",145,"2,676,203 "
Oman,"303,309",,"4,092 ",,"293,618",,"5,599",27,"5,263,331 "
Egypt,"295,639",+588,"16,935 ",+14,"249,082",+657,"29,622",90,"104,666,103 "
S. Korea,"281,938","+2,008","2,389 ",+3,"254,094","+2,056","25,455",332,"51,322,637 "
Slovenia,"281,687","+1,143","4,492 ",+6,"264,759",+604,"12,436",51,"2,079,284 "
Moldova,"280,175","+1,032","6,578 ",+9,"265,946",+802,"7,651",103,"4,022,601 "
Bahrain,"274,107",+66,"1,388 ",,"271,905",+130,814,2,"1,772,816 "
Mongolia,"269,476","+2,796","1,083 ",+9,"250,200","+4,212","18,193",192,"3,342,099 "
Armenia,"252,082",+759,"5,101 ",+26,"235,030",+614,"11,951",,"2,969,952 "
Kenya,"245,781",+444,"4,965 ",+4,"236,169",+700,"4,647",119,"55,201,322 "
Qatar,"235,304",+117,604 ,,"232,952",+135,"1,748",18,"2,807,805 "
Bosnia and Herzegovina,"225,857",+995,"10,203 ",+42,"192,218",,"23,436",,"3,256,078 "
Zambia,"208,353",+86,"3,637 ",+1,"203,853",+145,863,60,"19,004,876 "
Nigeria,"201,294",+337,"2,649 ",+2,"189,608",+262,"9,037",11,"212,305,008 "
Algeria,"201,224",+235,"5,670 ",+19,"137,598",+188,"57,956",24,"44,807,768 "
North Macedonia,"186,010",+560,"6,396 ",+29,"166,606",+507,"13,008",,"2,083,270 "
Norway,"181,195",+763,841 ,,"88,952",,"91,402",19,"5,472,547 "
Kyrgyzstan,"177,567",+83,"2,583 ",+2,"172,015",+113,"2,969",131,"6,654,285 "
Botswana,"172,252",,"2,343 ",,"167,318",,"2,591",1,"2,408,974 "
Uzbekistan,"167,268",+624,"1,179 ",+4,"160,421",+977,"5,668",23,"34,055,641 "
Albania,"161,324",+959,"2,569 ",+6,"145,845",+891,"12,910",3,"2,873,989 "
Afghanistan,"154,532",+45,"7,195 ",+9,"122,080",+340,"25,257","1,124","39,986,744 "
Mozambique,"149,906",+102,"1,903 ",+1,"145,013",+138,"2,990",32,"32,311,495 "
Latvia,"149,614",+533,"2,635 ",+3,"141,216",+350,"5,763",32,"1,860,903 "
Estonia,"148,923",+532,"1,322 ",+2,"138,898",+391,"8,703",17,"1,327,616 "
Finland,"135,815",+501,"1,051 ",,"46,000",,"88,764",20,"5,551,146 "
Zimbabwe,"127,632",+264,"4,562 ",+2,"120,156",+156,"2,914",12,"15,124,504 "
Namibia,"126,628",+91,"3,461 ",+5,"121,872",+48,"1,295",19,"2,596,502 "
Montenegro,"125,128",+643,"1,832 ",+10,"115,337",+544,"7,959",11,"628,162 "
Ghana,"124,740",+336,"1,116 ",+5,"119,229",+294,"4,395",51,"31,856,213 "
Uganda,"121,984",+200,"3,119 ",+4,"95,835",,"23,030",335,"47,481,973 "
Cyprus,"116,494",,534 ,,"90,755",,"25,205",45,"1,217,997 "
Cambodia,"102,834",+698,"2,089 ",+11,"96,275",+465,"4,470",,"16,998,738 "
El Salvador,"99,701",,"3,078 ",+12,"83,342",,"13,281",158,"6,525,831 "
Rwanda,"94,478",,"1,193 ",,"45,414",,"47,871",23,"13,339,662 "
Cameroon,"85,414",,"1,368 ",,"80,433",,"3,613",152,"27,343,239 "
Maldives,"83,332",+84,229 ,+2,"81,404",+170,"1,699",18,"552,048 "
Australia,"82,200","+1,798","1,141 ",+13,"61,869","+1,549","19,190",279,"25,857,762 "
Jamaica,"77,989",,"1,768 ",,"50,361",,"25,860",52,"2,976,818 "
Luxembourg,"77,098",,834 ,,"75,136",,"1,128",9,"638,287 "
Singapore,"75,783",+935,59 ,,"69,614",+363,"6,110",14,"5,906,029 "
Senegal,"73,588",+26,"1,842 ",+1,"68,811",+390,"2,935",10,"17,276,228 "
Malawi,"61,287",+37,"2,252 ",+1,"51,763",+426,"7,272",285,"19,726,350 "
Ivory Coast,"58,531",,546 ,,"56,350",,"1,635",,"27,166,516 "
DRC,"56,357",,"1,068 ",,"30,858",,"24,431",,"92,843,692 "
Réunion,"52,643",,358 ,,"51,126",,"1,159",33,"903,046 "
Guadeloupe,"52,480",,668 ,,"2,250",,"49,562",23,"400,207 "
Angola,"51,827",,"1,371 ",,"45,918",,"4,538",8,"34,098,532 "
Fiji,"49,719",+132,566 ,+22,"35,919",+233,"13,234",39,"904,308 "
Trinidad and Tobago,"47,925",,"1,397 ",,"42,596",,"3,932",22,"1,404,976 "
Eswatini,"45,317",+43,"1,194 ",,"42,966",+58,"1,157",10,"1,174,697 "
Madagascar,"42,898",,958 ,,"41,322",,618,3,"28,549,914 "
French Polynesia,"40,178",,593 ,+8,"33,500",,"6,085",46,"282,874 "
Martinique,"39,745",,555 ,,104,,"39,086",1,"374,912 "
French Guiana,"38,021",,232 ,,"9,995",,"27,794",27,"308,022 "
Sudan,"38,000",,"2,875 ",,"31,916",,"3,209",,"45,085,053 "
Cabo Verde,"36,970",+79,327 ,,"35,740",+85,903,23,"563,292 "
Malta,"36,927",+27,453 ,+1,"35,435",+79,"1,039",5,"442,967 "
Suriname,"36,428",+611,796 ,+8,"26,391",+57,"9,241",22,"592,993 "
Mauritania,"35,212",,761 ,,"33,394",,"1,057",22,"4,797,100 "
Syria,"30,337",+184,"2,112 ",+8,"22,967",+42,"5,258",,"18,013,725 "
Guinea,"30,136",,370 ,,"28,277",,"1,489",24,"13,562,471 "
Guyana,"28,831",,703 ,,"24,756",,"3,372",26,"791,148 "
Gabon,"27,291",,174 ,,"26,027",,"1,090",25,"2,289,123 "
Togo,"24,369",+276,211 ,+2,"19,871",+601,"4,287",,"8,512,924 "
Benin,"21,450",,146 ,,"17,294",,"4,010",5,"12,506,283 "
Haiti,"21,318",,596 ,,"19,053",,"1,669",,"11,570,649 "
Seychelles,"20,943",,114 ,,"20,245",,584,,"99,084 "
Mayotte,"20,125",+18,176 ,,"2,964",,"16,985",,"280,759 "
Bahamas,"20,030",+235,504 ,+35,"17,727",+235,"1,799",15,"397,791 "
Timor-Leste,"18,943",+87,103 ,+1,"16,922",+163,"1,918",,"1,348,780 "
Somalia,"18,820",,"1,041 ",,"9,138",,"8,641",,"16,427,984 "
Papua New Guinea,"18,542",,204 ,,"17,892",,446,7,"9,151,764 "
Laos,"18,347",+288,16 ,,"5,568",,"12,763",,"7,403,200 "
Belize,"18,334",,389 ,,"16,409",,"1,536",10,"406,349 "
Tajikistan,"17,084",,124 ,,"16,960",,0,,"9,796,266 "
Taiwan,"16,123",+8,839 ,,"15,121",+6,163,,"23,868,991 "
Curaçao,"15,925",,155 ,,"15,316",,454,4,"164,906 "
Aruba,"15,202",+25,157 ,+1,"14,757",+42,288,14,"107,315 "
Andorra,"15,124",+11,130 ,,"14,941",+2,53,4,"77,415 "
Mali,"15,029",+9,545 ,,"14,214",+11,270,,"20,954,171 "
Lesotho,"14,395",,403 ,,"6,830",,"7,162",,"2,162,803 "
Mauritius,"14,243",+170,50 ,+2,"1,854",,"12,339",,"1,274,324 "
Burundi,"14,189",,38 ,,773,,"13,378",,"12,317,739 "
Burkina Faso,"14,003",+19,172 ,,"13,680",+10,151,,"21,594,613 "
Congo,"13,701",,183 ,,"12,421",,"1,097",,"5,681,993 "
Nicaragua,"13,025",,202 ,,"4,225",,"8,598",,"6,719,884 "
Hong Kong,"12,153",+3,213 ,,"11,867",+5,73,,"7,570,592 "
Djibouti,"11,960",,157 ,,"11,688",,115,,"1,005,370 "
South Sudan,"11,790",,121 ,,"11,195",,474,,"11,352,464 "
Iceland,"11,404",+27,33 ,,"11,017",+22,354,6,"343,924 "
CAR,"11,309",,100 ,,"6,859",,"4,350",2,"4,931,239 "
Channel Islands,"11,223",,96 ,,"10,720",,407,,"175,802 "
Equatorial Guinea,"11,063",,137 ,,"9,490",,"1,436",1,"1,458,523 "
Saint Lucia,"10,344",+127,148 ,+9,"7,790",+120,"2,406",4,"184,643 "
Gambia,"9,867",,330 ,,"9,504",,33,3,"2,498,546 "
Yemen,"8,593",+36,"1,628 ",+9,"5,348",+23,"1,617",23,"30,619,067 "
Isle of Man,"7,113",+19,38 ,,"6,790",,285,1,"85,578 "
Eritrea,"6,669",+2,40 ,,"6,618",+1,11,,"3,605,769 "
Sierra Leone,"6,391",+3,121 ,,"4,374",,"1,896",,"8,172,899 "
